Key,Location,Name,IP,Type,Status,Acknowledge
2,Internet,Google,8.8.8.8,DNS,"Online, Avg ping: 26.60 ms",TRUE
3,WJM,WJM-MDF-L3-C3750X-48P,10.2.34.1,Switch,"Online, Avg ping: 7.00 ms",TRUE
4,THS,THSBridgeAP,10.1.11.196,Bridge,"Online, Avg ping: 4.80 ms",True
5,THS,THSAGBldgStation,10.1.11.197,Station,"Online, Avg ping: 12.20 ms",True
8,THS,Bullet M2 THS GYM,10.1.10.85,AP,"Online, Avg ping: 2.80 ms",TRUE
9,WJM,WJMBridgeAP,10.0.2.36,Bridge,"Offline, Ping Timeout",True
10,WJM,WJMCafeStation,10.0.2.33,Station,"Offline, Ping Timeout",True
11,WJM,WJMGymStation,10.0.2.38,Station,"Offline, Ping Timeout",True
12,WJM,BulletM2 WJM Gym,10.2.1.55,AP,"Offline, Ping Timeout",True
13,HCS,HCSGymAP,10.3.9.92,Bridge,"Online, Avg ping: 41.60 ms",True
14,HCS,HCSLibraryStation,10.3.9.87,Station,"Online, Avg ping: 40.20 ms",True
15,HCS,HCSMaintStation,10.3.9.126,Station,"Online, Avg ping: 42.80 ms",True
16,HCS,HCSCafeStation,10.3.9.100,Station,"Online, Avg ping: 44.00 ms",True
17,HCS,Bullet M2 HCS Gym,10.3.9.105,AP,"Online, Avg ping: 42.00 ms",True
19,WJM,WJM-MDF-Span-C3750X-24P,10.2.34.5,Switch,"Online, Avg ping: 6.00 ms",True
20,WJM,WJM-C2-C2960S-24P,10.2.34.6,Switch,"Online, Avg ping: 6.00 ms",True
21,WJM,WJM-A9-S2-C3560-48P,10.2.34.7,Switch,"Online, Avg ping: 6.80 ms",True
22,WJM,WJM-E2-C2960S-24P,10.2.34.8,Switch,"Online, Avg ping: 5.00 ms",True
23,WJM,WJM-A9-S1-C3750X-48P,10.2.34.9,Switch,"Online, Avg ping: 6.00 ms",True
24,HCS,HCS-MDF-L3-C3750X-48P,10.3.34.1,Switch,"Online, Avg ping: 41.60 ms",
25,HCS,HCS-A8-C2960S-48P,10.3.34.13,Switch,"Online, Avg ping: 41.40 ms",True
26,HCS,HCS-Gym-C2960S-24P,10.3.34.14,Switch,"Online, Avg ping: 42.60 ms",True
27,HCS,HCS-A-FO-C3560G-48P,10.3.34.19,Switch,"Online, Avg ping: 41.40 ms",True
28,HCS,HCS-F1-C2960S-24P,10.3.34.5,Switch,"Online, Avg ping: 42.40 ms",True
29,HCS,HCS-G1-C2960S-24P,10.3.34.6,Switch,"Online, Avg ping: 41.80 ms",True
30,HCS,HCS-C1-C2960S-24P,10.3.34.7,Switch,"Online, Avg ping: 41.40 ms",True
31,HCS,HCS-E-C2960S-24P,10.3.34.8,Switch,"Online, Avg ping: 43.40 ms",
32,HCS,HCS-MDF-Fiber-C3750X-12P,10.3.34.9,Switch,"Online, Avg ping: 42.80 ms",True
33,HCS,HCS-C3-C2960S-48P,10.3.34.24,Switch,"Online, Avg ping: 43.00 ms",True
34,JLW,JLW-MDF-L3-C3560G-48P,10.4.34.1,Switch,"Online, Avg ping: 1.60 ms",
35,JLW,JLW-FO-C3560X-48P,10.4.34.10,Switch,"Online, Avg ping: 2.60 ms",True
36,JLW,JLW-BR-C2960S-24P,10.4.34.5,Switch,"Online, Avg ping: 2.80 ms",True
37,JLW,JLW-IT-C2960S-24P,10.4.34.6,Switch,"Online, Avg ping: 2.40 ms",True
38,JLW,JLW-WH-C3560G-24P,10.4.34.8,Switch,"Online, Avg ping: 1.80 ms",True
39,THS,THS-138-C2960S-24P,10.1.34.21,Switch,"Online, Avg ping: 3.40 ms",True
40,THS,THS-MDF-S2-C2960S-48P,10.1.34.13,Switch,"Online, Avg ping: 4.20 ms",True
41,THS,THS-MDF-S3-C2960S-48P,10.1.34.14,Switch,"Online, Avg ping: 4.80 ms",True
42,THS,THS-MDF-S5-C2960S-48P,10.1.34.5,Switch,"Online, Avg ping: 4.60 ms",True
43,THS,THS-MDF-S9-C2960S-48P,10.1.34.9,Switch,"Online, Avg ping: 4.80 ms",True
44,THS,THS-125-C3560G-48P,10.1.34.26,Switch,"Online, Avg ping: 4.00 ms",True
